Date,Open,High,Low,Close,Adj Close,Volume
2018-01-01,24809.349609,26616.710938,24741.699219,26149.390625,26149.390625,9116920000
2018-02-01,26083.039063,26306.699219,23360.289063,25029.199219,25029.199219,9450250000
2018-03-01,25024.039063,25449.150391,23509.060547,24103.109375,24103.109375,8873040000
2018-04-01,24076.599609,24858.970703,23344.519531,24163.150391,24163.150391,8064550000
2018-05-01,24117.289063,25086.490234,23531.310547,24415.839844,24415.839844,7278020000
2018-06-01,24542.089844,25402.830078,23997.210938,24271.410156,24271.410156,7411110000
2018-07-01,24161.529297,25587.240234,24077.560547,25415.189453,25415.189453,5408500000
2018-08-01,25461.630859,26167.939453,24965.769531,25964.820313,25964.820313,5635410000
2018-09-01,25916.070313,26769.160156,25754.320313,26458.310547,26458.310547,5262500000
2018-10-01,26598.359375,26951.810547,24122.230469,25115.759766,25115.759766,8373350000
2018-11-01,25142.080078,26277.820313,24268.740234,25538.460938,25538.460938,7226940000
2018-12-01,25779.570313,25980.210938,21712.529297,23327.460938,23327.460938,8101540000
2019-01-01,23058.609375,25109.619141,22638.410156,24999.669922,24999.669922,7189200000
