issue_d,Open,High,Low,Close,Adj Close,Volume
1/1/2018,10.95,15.42,8.92,13.54,13.54,0
2/1/2018,13.05,50.299999,12.5,19.85,19.85,0
3/1/2018,19.959999,26.219999,13.31,19.969999,19.969999,0
4/1/2018,21.07,25.719999,14.57,15.93,15.93,0
5/1/2018,16,18.780001,10.91,15.43,15.43,0
6/1/2018,14.92,19.610001,11.22,16.09,16.09,0
7/1/2018,17.700001,18.08,11.44,12.83,12.83,0
8/1/2018,13.09,16.860001,10.17,12.86,12.86,0
9/1/2018,13.13,15.63,11.1,12.12,12.12,0
10/1/2018,11.99,28.84,11.34,21.23,21.23,0
11/1/2018,20.959999,23.809999,16.09,18.07,18.07,0
12/1/2018,16.040001,36.200001,15.94,25.42,25.42,0
1/1/2019,27.540001,28.530001,16.540001,16.57,16.57,0
