DATE,QUARTER,DRCCLACBS
1/1/1991,Q1,5.26
4/1/1991,Q2,5.48
7/1/1991,Q3,5.35
10/1/1991,Q4,5.32
1/1/1992,Q1,5.27
4/1/1992,Q2,5.1
7/1/1992,Q3,4.98
10/1/1992,Q4,4.69
1/1/1993,Q1,4.6
4/1/1993,Q2,4.46
7/1/1993,Q3,4.08
10/1/1993,Q4,3.91
1/1/1994,Q1,3.6
4/1/1994,Q2,3.29
7/1/1994,Q3,3.25
10/1/1994,Q4,3.29
1/1/1995,Q1,3.48
4/1/1995,Q2,3.7
7/1/1995,Q3,3.85
10/1/1995,Q4,3.95
1/1/1996,Q1,4.04
4/1/1996,Q2,4.27
7/1/1996,Q3,4.46
10/1/1996,Q4,4.6
1/1/1997,Q1,4.7
4/1/1997,Q2,4.73
7/1/1997,Q3,4.7
10/1/1997,Q4,4.81
1/1/1998,Q1,4.76
4/1/1998,Q2,4.76
7/1/1998,Q3,4.72
10/1/1998,Q4,4.74
1/1/1999,Q1,4.66
4/1/1999,Q2,4.58
7/1/1999,Q3,4.6
10/1/1999,Q4,4.55
1/1/2000,Q1,4.43
4/1/2000,Q2,4.51
7/1/2000,Q3,4.53
10/1/2000,Q4,4.57
1/1/2001,Q1,4.81
4/1/2001,Q2,4.94
7/1/2001,Q3,5
10/1/2001,Q4,4.69
1/1/2002,Q1,4.94
4/1/2002,Q2,4.78
7/1/2002,Q3,4.89
10/1/2002,Q4,4.84
1/1/2003,Q1,4.68
4/1/2003,Q2,4.53
7/1/2003,Q3,4.24
10/1/2003,Q4,4.43
1/1/2004,Q1,4.21
4/1/2004,Q2,4.15
7/1/2004,Q3,4.07
10/1/2004,Q4,4.03
1/1/2005,Q1,3.7
4/1/2005,Q2,3.67
7/1/2005,Q3,3.9
10/1/2005,Q4,3.54
1/1/2006,Q1,3.86
4/1/2006,Q2,4.13
7/1/2006,Q3,4.12
10/1/2006,Q4,3.95
1/1/2007,Q1,3.98
4/1/2007,Q2,4.02
7/1/2007,Q3,4.41
10/1/2007,Q4,4.6
1/1/2008,Q1,4.77
4/1/2008,Q2,4.9
7/1/2008,Q3,4.8
10/1/2008,Q4,5.64
1/1/2009,Q1,6.51
4/1/2009,Q2,6.77
7/1/2009,Q3,6.49
10/1/2009,Q4,6.33
1/1/2010,Q1,5.78
4/1/2010,Q2,5.1
7/1/2010,Q3,4.58
10/1/2010,Q4,4.14
1/1/2011,Q1,3.82
4/1/2011,Q2,3.65
7/1/2011,Q3,3.45
10/1/2011,Q4,3.25
1/1/2012,Q1,3.06
4/1/2012,Q2,2.92
7/1/2012,Q3,2.82
10/1/2012,Q4,2.71
1/1/2013,Q1,2.65
4/1/2013,Q2,2.53
7/1/2013,Q3,2.44
10/1/2013,Q4,2.38
1/1/2014,Q1,2.32
4/1/2014,Q2,2.26
7/1/2014,Q3,2.2
10/1/2014,Q4,2.15
1/1/2015,Q1,2.12
4/1/2015,Q2,2.12
7/1/2015,Q3,2.15
10/1/2015,Q4,2.15
1/1/2016,Q1,2.16
4/1/2016,Q2,2.21
7/1/2016,Q3,2.29
10/1/2016,Q4,2.36
1/1/2017,Q1,2.42
4/1/2017,Q2,2.48
7/1/2017,Q3,2.53
10/1/2017,Q4,2.48
1/1/2018,Q1,2.54
4/1/2018,Q2,2.48
7/1/2018,Q3,2.49
10/1/2018,Q4,2.54
