issue_d,Open,High,Low,Close,Adj Close
1-Jan,10.95,15.42,8.92,13.54,13.54
1-Feb,13.05,50.299999,12.5,19.85,19.85
1-Mar,19.959999,26.219999,13.31,19.969999,19.969999
1-Apr,21.07,25.719999,14.57,15.93,15.93
1-May,16,18.780001,10.91,15.43,15.43
1-Jun,14.92,19.610001,11.22,16.09,16.09
1-Jul,17.700001,18.08,11.44,12.83,12.83
1-Aug,13.09,16.860001,10.17,12.86,12.86
1-Sep,13.13,15.63,11.1,12.12,12.12
1-Oct,11.99,28.84,11.34,21.23,21.23
1-Nov,20.959999,23.809999,16.09,18.07,18.07
1-Dec,16.040001,36.200001,15.94,25.42,25.42
,,,,,
