state,incidentType,yearBegin,monthBegin,monthEnd
OK,Fire,2018,3,03
OK,Fire,2018,4,04
OK,Fire,2018,4,04
TX,Fire,2018,4,04
TX,Fire,2018,4,04
TX,Fire,2018,4,04
AZ,Fire,2018,4,04
TX,Fire,2018,5,05
HI,Volcano,2018,5,08
AZ,Fire,2018,5,05
ME,Coastal Storm,2018,3,03
NM,Fire,2018,5,05
NH,Coastal Storm,2018,3,03
NM,Fire,2018,6,06
WY,Fire,2018,6,06
NV,Fire,2018,6,06
OR,Fire,2018,6,06
CA,Fire,2018,6,06
CA,Fire,2018,6,07
CO,Fire,2018,6,07
CO,Fire,2018,7,07
CA,Fire,2018,7,07
CA,Fire,2018,7,07
CA,Fire,2018,7,07
WA,Fire,2018,7,07
WA,Fire,2018,7,07
WA,Fire,2018,7,07
TX,Fire,2018,7,07
CA,Fire,2018,7,07
WA,Fire,2018,7,08
ID,Fire,2018,7,07
TX,Fire,2018,7,07
CA,Fire,2018,7,08
OR,Fire,2018,8,08
UT,Fire,2018,8,08
WA,Fire,2018,8,08
WA,Fire,2018,8,08
CA,Fire,2018,8,08
WA,Fire,2018,8,08
SD,Fire,2018,8,08
WA,Flood,2018,5,05
OR,Fire,2018,8,08
AZ,Flood,2018,7,07
OR,Fire,2018,9,09
AK,Flood,2018,5,05
WY,Fire,2018,9,10
UT,Fire,2018,9,09
GU,Severe Storm(s),2018,9,09
CA,Fire,2018,11,11
AZ,Severe Storm(s),2018,10,10
MN,Flood,2018,10,10
